ARRESTNUMBER,ARRESTED DATE TIMECHARGE,UMPD CASE NUMBER,AGE,RACE,SEX,DESCRIPTION
23312,1/2/2022 0:10,2022-00000238,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person"
23313,1/2/2022 5:35,2022-00000271,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property"
23315,1/4/2022 15:13,2021-00088547,,Black,Female,"THEFT: $100 TO UNDER $1,500"
23316,1/9/2022 2:26,2022-00001605,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while impaired by alcohol while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of (alcohol, alcohol per se) while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23320,1/16/2022 0:40,2022-00002966,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person"
23318,1/16/2022 2:10,2022-00002978,,White,Male,Burglary 4th Degree; Unlawful Entry
23319,1/16/2022 2:10,2022-00002978,,Black,Male,Burglary 4th Degree; Unlawful Entry
23318,1/16/2022 2:10,2022-00002978,,White,Male,Burglary-4th Degree/Tools
23319,1/16/2022 2:10,2022-00002978,,Black,Male,Burglary-4th Degree/Tools
23318,1/16/2022 2:10,2022-00002978,,White,Male,Malicious Destruction Property/Value -$1000
23319,1/16/2022 2:10,2022-00002978,,Black,Male,Malicious Destruction Property/Value -$1000
23318,1/16/2022 2:10,2022-00002978,,White,Male,Obstructing and Hindering
23319,1/16/2022 2:10,2022-00002978,,Black,Male,Obstructing and Hindering
23321,1/21/2022 1:45,2022-00004171,,Black,Male,Urinating or Defecating in Public
23322,1/23/2022 1:36,2022-00004807,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol"
23349,1/26/2022 9:00,2021-00073763,,Black,Male,"THEFT: $100 TO UNDER $1,500"
23323,1/30/2022 2:02,2022-00006594,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23345,1/31/2022 9:00,2022-00002595,,White,Male,Malicious Destruction Property/Value -$1000
23324,1/31/2022 15:16,2022-00006999,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driving (motor veh., trailer, semitrailer) on hwy. with metal tires in contact with road; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Person driving motor veh. on hwy. w/o tires in safe operating condition as required by Adm.; Reckless driving veh. in wanton and willfull disregard for safety of persons and property"
23325,2/4/2022 23:34,2022-00007945,,White,Male,CDS: Possess Paraphernalia
23326,2/5/2022 0:59,2022-00007960,,White,Female,CDS:Possession Marijuana L/T 10 grams
23331,2/6/2022 1:48,2022-00008172,,White,Female,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Failure to drive veh. on right half of roadway when required"
23328,2/6/2022 4:02,2022-00008181,,White,Male,Assault-2nd Degree; Simple Assault; Disorderly Conduct; False Imprisonment; Reckless Endangerment
23329,2/8/2022 22:47,2022-00008847,,White,Male,CDS:Possession Marijuana L/T 10 grams
23327,2/9/2022 8:57,2021-00094366,,Black,Male,"THEFT: $1,500 TO UNDER $25,000"
23330,2/10/2022 23:42,2022-00009330,,Black,Male,CDS:Possession Marijuana L/T 10 grams
23332,2/11/2022 0:12,2022-00009332,,White,Male,CDS:Possession Marijuana L/T 10 grams
23336,2/11/2022 1:22,2022-00009359,,White,Male,"(Driving, Attempting to drive) veh. while impaired by controlled dangerous substance; CDS: Possess Paraphernalia; CDS:Possession Marijuana L/T 10 grams"
23333,2/11/2022 2:15,2022-00009363,,Black,Male,CDS:Possession Marijuana L/T 10 grams
23334,2/12/2022 1:33,2022-00009649,,Black,Male,CDS:Possession Marijuana L/T 10 grams
23335,2/12/2022 2:26,2022-00009659,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23339,2/14/2022 0:38,2022-00010151,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23337,2/15/2022 0:12,2022-00010389,,Black,Female,CDS:Possession Marijuana L/T 10 grams
23350,2/15/2022 8:00,2022-00005432,,Black,Male,"THEFT: $100 TO UNDER $1,500"
23338,2/15/2022 22:15,2022-00010580,,White,Male,CDS: POSS MARIJUANA 10 GM+
23340,2/17/2022 0:05,2022-00010914,,White,Female,"(Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23351,2/18/2022 0:00,2022-00011388,,Black,Male,"THEFT: $1,500 TO UNDER $25,000"
23352,2/18/2022 0:00,2022-00011388,,Black,Male,"THEFT: $1,500 TO UNDER $25,000"
23346,2/18/2022 17:39,2022-00011380,,Black,Male,CDS: POSS MARIJUANA 10 GM+; Motor Vehicle Theft/Unlawful Taking; Automobiles; Theft Less Than $100
23347,2/18/2022 18:01,2022-00011380,,Black,Male,CDS: POSS MARIJUANA 10 GM+; Motor Vehicle Theft/Unlawful Taking; Automobiles; School Trespassing On Ground; Theft Less Than $100
23354,2/19/2022 0:00,2018-00029378,,Black,Male,"Malicious Destruction Property/Value Less than $500; Rogue and Vagabond; THEFT: $100 TO UNDER $1,500"
23344,2/20/2022 21:25,2022-00011833,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; (Driving, Attempting to drive) veh. while under the influence of alcohol"
23342,2/23/2022 1:49,2022-00012393,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol"
23343,2/23/2022 2:40,2022-00012398,,White,Male,CDS: POSS MARIJUANA 10 GM+
23348,2/27/2022 10:30,2022-00013480,,Black,Male,"Motor Vehicle Theft/Unlawful Taking; Automobiles; THEFT: $1,500 TO UNDER $25,000"
23353,3/1/2022 10:12,2022-00008428,,,Male,"THEFT SCHEME: $100 TO UNDER $1,500; THEFT SCHEME: $100,000 PLUS"
23356,3/9/2022 0:12,2022-00015803,,White,Male,"(Driving, Attempting to drive) veh. while under the influence of alcohol"
